Patient,Role,Period,Policy,TIR,TBR,TBR54,TAR,MeanCGM,GMI,CV
child#001,child,PreRamadan,1.0,86.29861111111111,6.319444444444445,0.4027777777777778,7.381944444444444,119.3294606017424,6.164360697593678,35.25122702353776
child#001,child,Ramadan,1.0,88.66666666666667,3.0208333333333335,0.2152777777777778,8.3125,125.14842918562984,6.303550426120266,31.90576385323046
child#001,child,Ramadan,0.9,70.625,0.9097222222222222,0.04861111111111111,28.465277777777775,150.6644740385163,6.9138942190013095,32.71203917676805
child#001,child,Ramadan,0.8,57.77777777777777,1.3333333333333335,0.08333333333333334,40.88888888888889,172.09930039129227,7.426615265359711,41.21991512297562
child#001,child,Ramadan,0.7,60.69444444444444,0.5833333333333334,0.0,38.72222222222222,170.19624512594726,7.381094183412658,37.938767203040605
child#001,child,Ramadan,0.6,51.0,0.5069444444444444,0.0763888888888889,48.49305555555555,189.01746027435348,7.831297649762535,38.15748476999201
child#002,child,PreRamadan,1.0,97.91666666666666,1.597222222222222,0.16666666666666669,0.4861111111111111,116.06825673754906,6.086352701162173,22.725588681336536
child#002,child,Ramadan,1.0,95.28472222222221,2.1527777777777777,0.10416666666666667,2.5625,118.22081530129263,6.13784190200692,23.714491203005295
child#002,child,Ramadan,0.9,93.34027777777779,0.1527777777777778,0.0,6.506944444444445,132.52638593042406,6.480031151455743,20.697130774360602
child#002,child,Ramadan,0.8,80.4375,0.0,0.0,19.5625,153.96305445429223,6.992796262546671,18.2607938818343
child#002,child,Ramadan,0.7,56.013888888888886,0.0,0.0,43.98611111111111,179.65036921764408,7.607236831686047,16.663681346323838
child#002,child,Ramadan,0.6,22.65972222222222,0.0,0.0,77.34027777777777,206.50893593648348,8.249693747600684,17.054561004604313
child#003,child,PreRamadan,1.0,78.86805555555556,9.0625,0.8472222222222223,12.069444444444443,130.2519387006036,6.425626373718439,32.62860229070178
child#003,child,Ramadan,1.0,75.61805555555556,8.9375,1.465277777777778,15.444444444444445,130.3134724098525,6.427098260043672,36.199019804520695
child#003,child,Ramadan,0.9,76.4513888888889,4.659722222222222,0.4444444444444444,18.88888888888889,137.82727511751338,6.6068284208109205,33.754602660321204
child#003,child,Ramadan,0.8,72.40972222222221,1.4236111111111112,0.027777777777777776,26.166666666666664,149.39037801219686,6.883417842051749,30.1369707744836
child#003,child,Ramadan,0.7,59.36111111111111,0.020833333333333336,0.0,40.61805555555556,165.6602210221655,7.272592486850199,25.269962225651106
child#003,child,Ramadan,0.6,43.56944444444444,0.0,0.0,56.43055555555555,185.34734344046993,7.743508455096041,20.183886761726868
child#004,child,PreRamadan,1.0,68.30555555555556,13.229166666666666,2.326388888888889,18.46527777777778,128.0702100034862,6.37343942328339,47.60334011475884
child#004,child,Ramadan,1.0,73.88194444444444,10.694444444444445,1.5833333333333335,15.42361111111111,125.78773209776315,6.318842551778495,39.38227997201581
child#004,child,Ramadan,0.9,71.72916666666667,5.708333333333333,0.4930555555555555,22.5625,134.85692491836787,6.535777644047359,38.100342874298484
child#004,child,Ramadan,0.8,61.48611111111111,3.763888888888889,0.35416666666666663,34.75,159.19053438543187,7.117837582499531,45.10994957024483
child#004,child,Ramadan,0.7,62.38888888888889,1.2291666666666665,0.1527777777777778,36.38194444444444,167.19723294109036,7.309357811950882,40.573365692532256
child#004,child,Ramadan,0.6,47.18055555555555,0.3055555555555556,0.0,52.51388888888889,187.60384887503275,7.797484065090783,38.29721530644447
child#005,child,PreRamadan,1.0,80.20138888888889,10.743055555555555,1.2083333333333333,9.055555555555555,111.38077618227554,5.974228166280032,49.32492040098209
child#005,child,Ramadan,1.0,80.97916666666667,10.38888888888889,1.6805555555555556,8.631944444444445,116.77512433358213,6.1032609740592845,45.75040596721844
child#005,child,Ramadan,0.9,77.77083333333333,8.04861111111111,1.0486111111111112,14.180555555555555,128.0191182951248,6.372217309619385,44.85303848227661
child#005,child,Ramadan,0.8,76.35416666666667,7.604166666666666,1.1597222222222223,16.041666666666668,128.16330846498388,6.375666338482414,40.437080610185554
child#005,child,Ramadan,0.7,66.45833333333333,5.638888888888889,0.9444444444444444,27.902777777777775,143.260946611283,6.736801842941889,43.61367695775364
child#005,child,Ramadan,0.6,59.82638888888889,4.743055555555555,0.7569444444444444,35.43055555555556,156.8571733493223,7.062023586515789,48.18620157664315
child#006,child,PreRamadan,1.0,93.89583333333333,0.42361111111111116,0.0,5.680555555555555,123.03451663726023,6.252985637963265,23.962260579279338
child#006,child,Ramadan,1.0,93.08333333333333,0.5763888888888888,0.0,6.340277777777778,125.61247335894683,6.314650362746008,25.786267095513644
child#006,child,Ramadan,0.9,91.19444444444444,0.0,0.0,8.805555555555555,140.3992218706719,6.668349387146472,22.775142507957653
child#006,child,Ramadan,0.8,76.07638888888889,0.0,0.0,23.92361111111111,158.9010181813076,7.110912354896877,21.579799208095526
child#006,child,Ramadan,0.7,56.26388888888889,0.0,0.0,43.73611111111111,181.03335886698372,7.64031794409825,22.50037424157055
child#006,child,Ramadan,0.6,45.861111111111114,0.0,0.0,54.13888888888889,195.76170567268682,7.992619999690669,27.641856164880924
child#007,child,PreRamadan,1.0,89.97916666666667,4.958333333333333,0.45138888888888884,5.0625,106.52416860190284,5.858058112957516,32.90533615878781
child#007,child,Ramadan,1.0,93.6388888888889,3.9930555555555554,0.2361111111111111,2.3680555555555554,107.57930339406646,5.88329693718607,27.212232968354417
child#007,child,Ramadan,0.9,95.69444444444444,2.8472222222222223,0.09722222222222222,1.4583333333333333,111.66036710245166,5.980915981090644,25.58578539428184
child#007,child,Ramadan,0.8,96.13194444444444,1.965277777777778,0.027777777777777776,1.902777777777778,117.43088216278653,6.118946701333854,25.47354817645391
child#007,child,Ramadan,0.7,92.375,1.3958333333333333,0.006944444444444444,6.229166666666667,124.38595328909142,6.285312002675067,27.111997136960515
child#007,child,Ramadan,0.6,79.67361111111111,0.8819444444444444,0.0,19.444444444444446,133.97464688467002,6.514673553481307,30.288987711846367
child#008,child,PreRamadan,1.0,54.19444444444444,5.375,1.7013888888888888,40.43055555555555,173.5916853859726,7.462313114432465,47.005477785962114
child#008,child,Ramadan,1.0,57.52083333333333,6.243055555555556,2.2083333333333335,36.236111111111114,184.82013793356936,7.7308976993709795,56.362378753093054
child#008,child,Ramadan,0.9,57.81944444444444,4.583333333333333,1.4583333333333333,37.59722222222222,189.4578508257795,7.8418317917526466,55.109811831078424
child#008,child,Ramadan,0.8,56.1875,3.6527777777777777,1.2361111111111112,40.15972222222222,193.95350378198614,7.949367810465109,52.97686211366577
child#008,child,Ramadan,0.7,51.55555555555556,3.0972222222222223,1.0138888888888888,45.34722222222222,197.9482293507612,8.044921646070208,50.72162490545487
child#008,child,Ramadan,0.6,45.94444444444444,3.25,0.8611111111111112,50.80555555555556,200.00856966919744,8.094204986487203,48.79194622805599
child#009,child,PreRamadan,1.0,94.9236111111111,2.7708333333333335,0.027777777777777776,2.3055555555555554,112.11840658629873,5.991872285544266,26.94272729213127
child#009,child,Ramadan,1.0,95.8125,2.166666666666667,0.0,2.020833333333333,115.41868985034434,6.0708150612202365,24.62138153592064
