PolicyPercent,Metric,Mean,SD,CI95Low,CI95High
100,CV,31.39005892532402,7.85085066669646,28.6104114955178,34.19281881335619
90,CV,30.82255484697418,7.876883245896629,28.036385898854874,33.674656612083155
80,CV,30.639907175856433,7.855886804789772,27.863632521632223,33.46838955573962
70,CV,30.080106416302797,7.638438675121457,27.354089350107543,32.867668557588146
60,CV,29.714827122762866,8.19632542157918,26.860122316275422,32.63968525393989
100,GMI,6.456878036690001,0.356546894344261,6.333593196006673,6.584584271953379
90,GMI,6.676012342074047,0.34903713911071554,6.550903048139828,6.798377531411932
80,GMI,6.948835010354715,0.4156021651529486,6.799812431406613,7.0955640847675445
70,GMI,7.264927063791686,0.5674595447097476,7.069975171552041,7.474327702270515
60,GMI,7.631833055083131,0.7703247715488077,7.366241021807936,7.922503294946687
100,HBGI,4.9680360887245465,3.005643872577661,3.9519941545263566,6.072848519575458
90,HBGI,5.8002624658894835,3.047296392724942,4.756538904430359,6.932652741764631
80,HBGI,7.17629171910122,3.1791703147961683,6.05115160879771,8.317077231813268
70,HBGI,8.954629446326765,3.898817342962987,7.5790510461289635,10.38187999445836
60,HBGI,11.49802970497398,5.7541222445377835,9.541526690440397,13.600297531902243
100,LBGI,3.371493278480723,2.37007395874904,2.589987341619558,4.269327382960153
90,LBGI,2.52763067272541,1.9944631237821138,1.8688628259225228,3.2880115480890333
80,LBGI,1.8329577097959544,1.619405924932297,1.2864179557079847,2.457519831572207
70,LBGI,1.272525016187453,1.2826605847249883,0.8481207785035605,1.7598685026805665
60,LBGI,0.9940028985042783,1.1730710066102854,0.5956654581267528,1.4311867137975174
100,Mean,131.55844634991647,14.90580661974335,126.51044175486237,137.02386480364578
90,Mean,140.71957951814582,14.591853641752326,135.51623162539076,145.82881422897256
80,Mean,152.12520946298974,17.374672456226953,145.91274702145824,158.36410028352591
70,Mean,165.33976019196012,23.723225113283767,157.06689473942046,174.12686292711953
60,Mean,180.67863942655234,32.20421285739163,170.01589821369618,192.57198335136678
100,RescueCorrections,6.241379310344827,11.160053675030273,2.6206896551724137,10.517241379310345
90,RescueCorrections,8.482758620689655,11.691329783999192,4.551724137931035,12.89655172413793
80,RescueCorrections,12.862068965517242,13.796283500408554,8.10344827586207,17.82758620689655
70,RescueCorrections,17.96551724137931,17.463191408994867,11.827586206896552,24.413793103448278
60,RescueCorrections,26.75862068965517,24.567189461343695,18.275862068965516,35.86206896551724
100,TAR,13.51580459770115,10.50730341326617,9.9633441091954,17.455226293103447
90,TAR,16.92552681992337,10.749154485212419,13.214284003831418,20.829998802681988
80,TAR,24.176963601532567,12.630027748625784,19.694677921455938,28.73539870689655
70,TAR,33.536159003831415,18.236815985734964,27.292564655172413,40.39109794061303
60,TAR,43.20282567049808,21.809592025686296,35.71703783524904,51.285488505747125
100,TBR,4.78352490421456,4.539507607224195,3.2294001436781605,6.481591235632179
90,TBR,3.1455938697318007,3.6322723430272283,1.960721982758621,4.513433908045974
80,TBR,1.943007662835249,2.725398628745029,1.0557890325670496,2.9966534961685816
70,TBR,1.1147030651340997,1.843339976874316,0.5284961685823756,1.831417624521073
60,TBR,0.775383141762452,1.4199736677937713,0.3227969348659004,1.3359674329501914
100,TBR_<54,1.0967432950191571,1.8418456287639968,0.5387871168582375,1.8388649425287336
90,TBR_<54,0.610632183908046,1.2062018394598264,0.26388290229885053,1.1075251436781604
80,TBR_<54,0.31657088122605365,0.6752697966425102,0.12331776819923372,0.592199473180076
70,TBR_<54,0.14200191570881227,0.30019069464051734,0.04909003831417625,0.2602969348659004
60,TBR_<54,0.07710727969348656,0.17242995851435322,0.023227969348659002,0.14559386973180077
100,TIR,81.7006704980843,12.922242266179326,76.92019875478927,86.08363266283526
90,TIR,79.92887931034481,12.482580269412827,75.43844588122603,84.23396192528736
80,TIR,73.8800287356322,13.127358943415905,69.17335967432949,78.56729525862069
70,TIR,65.34913793103448,18.148015883806025,58.58499161877395,71.7454861111111
60,TIR,56.02179118773947,21.693548403033073,48.13092073754789,63.38921216475096
