PolicyPercent,Metric,BetweenPatientVar,WithinPatientSeedVar,WithinShare
100,TIR,159.82281283839544,0.6801021267915435,0.004237319471356999
100,TBR,20.335569079230773,0.12804928072229319,0.006257411493408386
100,TBR_<54,4.015236663524497,0.06763848978288639,0.01656638698053135
100,TAR,104.3754469089768,0.44625926812828143,0.004257317347747506
100,RescueCorrections,117.44827586206895,1.2413793103448278,0.01045903544450901
90,TIR,155.91430577780903,0.874930156449555,0.005580294790239373
90,TBR,13.383936477000516,0.11052630995459067,0.008190493515713333
90,TBR_<54,1.6508651836816743,0.029374756101887323,0.017482477000083214
90,TAR,114.35433723697012,0.7355534713353199,0.00639112146869246
90,RescueCorrections,132.2465790914067,1.517241379310345,0.011342688732806435
80,TIR,174.6706521835533,0.6017199251454518,0.003433056322032789
80,TBR,7.55542335169221,0.07481020292322973,0.00980444469854765
80,TBR_<54,0.4443015370437943,0.013275817723854121,0.02901327521025467
80,TAR,160.91004285321512,0.4771240199730388,0.0029563938026617976
80,RescueCorrections,184.38587848932676,1.2413793103448278,0.00668748396684565
70,TIR,328.71239900136936,0.43484317351355234,0.001321120513239819
70,TBR,3.5150940068848953,0.05205949783595854,0.014594128838880019
70,TBR_<54,0.07522278403255016,0.010152813253866896,0.11891938184404564
70,TAR,331.7060319408335,0.35481465960692554,0.0010685230229321922
70,RescueCorrections,296.6554460864806,1.931034482758621,0.00646725357115033
60,TIR,474.13571239312813,0.5201515272456357,0.0010958497867265243
60,TBR,1.7042215780566876,0.05122248385837946,0.029179217367085623
60,TBR_<54,0.02052662617746829,0.0059195180573293595,0.22383293401011176
60,TAR,479.51173999869917,0.4509637301333907,0.0009395807770684083
60,RescueCorrections,586.8303229337713,1.3103448275862066,0.002227944604772491
