Policy,Metric,Mean,SD,CI95Low,CI95High,N
100%,TIR,81.39831349206348,12.09215952006568,76.78123966600529,85.62039207175926,28
100%,TBR,5.1667080026455015,4.313406259655588,3.6702990658068777,6.796724123677247,28
100%,TBR_<54,1.497685185185185,1.9835002322080233,0.8680958581349205,2.2789765211640214,28
100%,TAR,13.434978505291005,9.71049219120912,10.094577752976193,17.058628885582007,28
100%,RescueCorrections,6.547619047619048,9.37390401197025,3.464285714285714,10.166666666666668,28
60%,TIR,54.216724537037024,21.524208847420255,46.22591869212962,61.961828290343895,28
60%,TBR,1.0398478835978837,1.3733921063083179,0.5708478009259259,1.56994460978836,28
60%,TBR_<54,0.144510582010582,0.2224312597173804,0.07018745866402117,0.23169022817460302,28
60%,TAR,44.74342757936507,21.70832784595639,37.0201419890873,52.91816096230159,28
60%,RescueCorrections,28.565476190476193,25.373398276424513,19.821428571428573,38.113244047619034,28
70%,TIR,63.395006613756614,18.644123111037484,56.464219576719586,69.99109519675926,28
70%,TBR,1.56229332010582,1.909938676409336,0.9198495370370371,2.288629505621691,28
70%,TBR_<54,0.30592757936507936,0.4195711446195786,0.16633391203703704,0.4699074074074074,28
70%,TAR,35.04270006613757,18.806305472881643,28.39458602017196,42.004021990740725,28
70%,RescueCorrections,18.773809523809526,17.653921228561888,12.565327380952379,25.452380952380953,28
80%,TIR,72.63992228835978,13.493814811262075,67.78105882109789,77.47278232473546,28
80%,TBR,2.351810515873016,2.6444188052466857,1.4627500826719575,3.3627645502645502,28
80%,TBR_<54,0.525462962962963,0.746171431896068,0.2866598462301587,0.8268043154761903,28
80%,TAR,25.008267195767196,13.1307668644863,20.284749090608468,29.834466972552896,28
80%,RescueCorrections,13.25,13.214088690397665,8.55952380952381,18.166666666666664,28
90%,TIR,79.12032903439153,12.550416526677507,74.35976769179894,83.54263599537036,28
90%,TBR,3.5563822751322753,3.5033021432171423,2.3690383184523816,4.893896742724868,28
90%,TBR_<54,0.9606068121693122,1.3323610484224668,0.5382771164021165,1.487228215939153,28
90%,TAR,17.323288690476193,10.797556579063697,13.519502314814813,21.30873739252644,28
90%,RescueCorrections,8.863095238095239,10.583885333269412,5.2142857142857135,12.845238095238093,28
Fasting-window 80%,TIR,73.56010251322752,12.468313167469741,69.00710565476192,78.06773520171957,28
Fasting-window 80%,TBR,3.4593253968253976,3.263472303781451,2.338807250330688,4.701308283730158,28
Fasting-window 80%,TBR_<54,0.8697503306878306,1.1201454948494063,0.5003296544312168,1.3186662946428565,28
Fasting-window 80%,TAR,22.980572089947092,11.415816668227826,18.771609416335977,27.14277343749999,28
Fasting-window 80%,RescueCorrections,12.761904761904763,12.789481642426006,8.29761904761905,17.595238095238095,28
