Metric,N,MeanDifference,CI95Low,CI95High,RawP,SelectedTargetAttainment,BaselineTargetAttainment,AdjustedP
TIR,28,0.5682043650793646,0.07117435515872972,1.1304563492063486,0.03880480597597012,0.4642857142857143,0.35714285714285715,0.07760961195194024
TBR,28,-1.6421130952380951,-2.7951512896825395,-0.7266865079365079,0.0019499902500487497,0.4642857142857143,0.35714285714285715,0.009374953125234373
TBR_<54,28,-0.6743551587301587,-1.4583395337301586,-0.19667658730158735,0.0020299898500507497,0.4642857142857143,0.35714285714285715,0.009374953125234373
TAR,28,1.07390873015873,0.44765625,1.8000992063492067,0.0018749906250468747,0.4642857142857143,0.35714285714285715,0.009374953125234373
RescueCorrections,28,1.5,0.03571428571428571,4.035714285714286,0.12475937620311899,0.4642857142857143,0.35714285714285715,0.12475937620311899
