Group,N,Metric,MeanDifference,CI95Low,CI95High
Pre-Ramadan TBR <4%,20,Delta_TIR,-21.59041666666667,-31.608593749999994,-12.648729166666671
Pre-Ramadan TBR <4%,20,Delta_TBR,-1.8875000000000004,-2.5820937500000003,-1.236645833333335
Pre-Ramadan TBR <4%,20,Delta_TAR,23.477916666666665,14.785822916666667,33.24127083333333
Pre-Ramadan TBR >=4%,10,Delta_TIR,-6.129793233082703,-13.455062500000002,0.25124686716792866
Pre-Ramadan TBR >=4%,10,Delta_TBR,-6.662286967418547,-8.473125626566416,-4.870194235588973
Pre-Ramadan TBR >=4%,10,Delta_TAR,12.792080200501255,7.477479166666669,18.96555936716791
